0.5552,0.6862,1
-0.9638,0.0074,1
0.3408,0.6002,-1
0.1202,-0.3420,-1
0.0545,0.8517,1
-0.2206,0.6310,-1
0.5763,0.2018,-1
0.3300,-0.0570,-1
0.7708,0.7076,1
0.6135,-0.5803,1
0.2743,-0.5864,-1
-0.1429,0.5143,-1
0.5906,0.0993,-1
0.3373,-0.6459,1
-0.8786,-0.6394,1
-0.7986,0.1976,1
0.5061,-0.3897,-1
0.1141,0.4568,-1
0.1993,0.7678,1
0.3559,-0.9274,1
0.2353,0.2935,-1
0.9297,0.1564,1
0.4697,-0.3653,-1
0.6926,0.0869,-1
0.8069,-0.2106,1
-0.5812,-0.1649,-1
0.9739,0.4116,1
0.3328,0.0377,-1
-0.6140,-0.7750,1
-0.5933,0.6404,1
-0.5652,-0.2547,-1
0.9633,0.2131,1
0.3073,-0.0681,-1
0.7713,-0.5352,1
0.8258,-0.5700,1
-0.5800,-0.2010,-1
0.3451,0.1612,-1
-0.0955,-0.0722,-1
0.8160,-0.9459,1
0.2569,-0.4950,-1
-0.1446,-0.4613,-1
-0.1342,-0.4097,-1
-0.5208,0.6874,1
-0.4732,-0.8382,1
-0.6422,-0.7784,1
-0.4815,-0.2781,-1
0.0262,0.1094,-1
-0.9732,-0.9860,1
0.4883,-0.6142,1
0.1842,-0.3642,-1
0.1989,-0.6977,1
0.5193,0.7395,1
-0.7042,-0.5968,1
-0.2372,-0.3596,-1
-0.2454,-0.1933,-1
0.4038,0.3741,-1
-0.3181,0.9295,1
0.2295,0.2252,-1
-0.9940,0.9870,1
-0.6396,0.7768,1
0.2691,-0.3910,-1
-0.6065,0.2294,-1
0.2554,0.6487,-1
-0.2265,-0.8514,1
-0.8828,0.8218,1
-0.1362,0.5102,-1
0.8183,0.1462,1
0.0831,-0.4690,-1
0.7829,-0.9714,1
0.1614,-0.9602,1
-0.1748,0.6861,1
-0.4365,-0.5624,1
0.1691,-0.6102,-1
0.8393,-0.7532,1
0.9128,0.7817,1
0.9381,-0.3814,1
-0.6089,0.4382,1
0.2797,0.7011,1
0.1529,-0.3881,-1
-0.6642,-0.3720,1
0.2629,-0.1592,-1
0.9203,0.3531,1
-0.0100,0.8215,1
-0.5216,-0.4188,-1
0.3655,-0.7884,1
0.9950,-0.9239,1
0.9246,0.2197,1
-0.0999,0.5163,-1
0.7708,-0.4226,1
-0.8826,-0.8516,1
0.5383,0.6495,1
0.8186,0.7329,1
0.0649,-0.9856,1
-0.0330,-0.0883,-1
0.1886,-0.1808,-1
0.9244,0.1037,1
0.4317,-0.6273,1
0.0841,-0.2563,-1
0.0487,0.9335,1
-0.2213,0.9879,1
-0.1817,0.4570,-1
0.5669,0.1294,-1
0.8719,0.3953,1
-0.8252,-0.1513,1
0.9328,-0.4733,1
0.3683,-0.5211,-1
-0.8858,0.8063,1
0.0704,-0.2653,-1
0.5603,-0.8773,1
0.0125,-0.3000,-1
-0.9135,-0.7669,1
0.4436,-0.8489,1
0.6252,-0.3680,1
-0.0560,0.2529,-1
0.9867,-0.8252,1
0.3800,-0.2241,-1
0.7184,0.9950,1
-0.1802,-0.8907,1
-0.8140,-0.9341,1
0.8892,-0.4671,1
-0.2582,0.1491,-1
-0.6410,-0.0750,-1
0.4578,-0.2309,-1
0.3387,-0.4759,-1
0.5712,0.6984,1
-0.7703,-0.0162,1
0.5091,0.9441,1
0.7523,0.0873,1
-0.0921,-0.2396,-1
-0.1404,-0.3398,-1
0.9171,-0.0064,1
-0.4365,-0.0826,-1
0.9263,0.7303,1
-0.6291,0.1801,-1
0.9707,0.8734,1
-0.7548,0.7778,1
-0.2842,-0.5379,-1
-0.5212,-0.9052,1
0.2482,0.3945,-1
0.5140,0.5850,1
-0.2421,0.6920,1
0.0702,-0.4211,-1
-0.4537,-0.5417,-1
0.4547,-0.0237,-1
0.4891,-0.2459,-1
0.0924,0.2858,-1
0.5104,-0.4779,-1
-0.2439,-0.1677,-1
-0.3175,-0.1992,-1
-0.9839,0.9772,1
-0.7866,0.8879,1
-0.3639,0.7456,1
-0.0671,-0.0443,-1
0.2286,0.2605,-1
0.8022,0.6484,1
-0.0935,-0.7735,1
0.2030,0.0449,-1
-0.5794,0.6521,1
0.4148,-0.1410,-1
0.1124,0.2090,-1
-0.0887,0.1627,-1
0.2962,-0.2314,-1
0.5946,-0.5740,1
-0.0854,-0.7058,1
0.1246,-0.2443,-1
0.7416,0.8174,1
0.9662,0.1748,1
-0.0675,-0.9637,1
0.8391,0.0963,1
-0.1441,-0.3281,-1
0.9390,-0.6556,1
0.3147,-0.1383,-1
-0.0074,-0.6283,-1
-0.8804,0.4166,1
-0.0009,-0.2127,-1
0.6204,0.0845,-1
0.3531,-0.8105,1
0.3962,-0.6266,1
-0.1174,0.9258,1
-0.2334,-0.9742,1
-0.1186,-0.5202,-1
0.5994,0.8355,1
-0.7204,0.1863,1
-0.7276,-0.2060,1
0.1746,-0.2500,-1
-0.6779,0.3424,1
-0.3844,0.2112,-1
0.5093,-0.1381,-1
-0.0646,0.8493,1
0.4937,0.3374,-1
0.7538,-0.9730,1
-0.5188,-0.7966,1
0.8441,0.1717,1
-0.3531,-0.3480,-1
-0.8625,-0.7991,1
0.2780,0.7636,1
-0.7915,0.3065,1
-0.6025,-0.2098,-1
0.6838,-0.2013,1
0.9940,-0.3018,1
