x1,x2,y
0.888414577,-0.779177806,1
-0.639708669,0.812861093,1
-0.271473997,-0.212772722,0
0.666078934,0.699100716,0
0.993321688,0.29716384,1
0.212526396,0.779340405,0
0.339284745,-0.221915266,0
0.745805841,0.289543201,0
0.889594785,-0.397393684,0
-0.547951028,-0.456636163,0
0.681738156,-0.055780976,0
0.341276468,0.675505421,0
-0.433117518,0.85819318,0
0.02155613,0.271935347,0
-0.974490475,0.186475497,0
0.273439602,0.98866111,1
0.046217143,-0.892199911,0
0.359430525,-0.490459954,0
0.366956703,-0.928113424,0
0.168011638,-0.246167528,0
0.802345952,0.671612907,1
0.9778238,0.864743459,1
-0.108505669,0.774188746,0
0.369918144,-0.838488905,0
-0.322452385,0.213238062,0
-0.124782905,-0.382204471,0
0.907557328,0.741002628,1
0.008045831,0.451291411,0
0.539264426,0.33355223,0
-0.079431181,0.207121507,0
0.011738249,0.613931455,0
-0.446550924,-0.546393373,0
-0.358383628,0.314276499,0
0.714927747,-0.201528927,0
-0.157046645,0.495549645,0
-0.522702766,0.320914879,0
-0.542658353,-0.338549731,0
-0.996210632,-0.674478443,1
-0.969663769,-0.58404048,1
-0.250406719,-0.904143633,0
-0.116612042,0.322841446,0
-0.666851669,-0.964453266,1
-0.746132356,-0.816293654,1
-0.668757825,-0.11092825,0
-0.495047444,0.091097967,0
-0.630327243,-0.233588723,0
-0.925277763,0.046979838,0
-0.830371979,-0.939883275,1
-0.046892271,-0.568238874,0
-0.083273588,0.174561042,0
0.868797385,-0.618607135,1
-0.900274245,-0.007441495,0
0.082844325,-0.14891869,0
0.017126733,0.002962886,0
0.675336632,-0.838254505,1
-0.744994024,-0.668363518,1
-0.420445893,0.352151318,0
0.310419273,0.839848205,0
0.186005632,0.745842113,0
-0.150526901,0.131523447,0
-0.669521475,0.920816564,1
-0.746504723,-0.248160338,0
-0.604724395,0.327359871,0
-0.717373385,-0.182227789,0
0.403109422,-0.91768633,1
-0.367751302,-0.182301183,0
0.596248892,-0.142663207,0
0.971305789,-0.737986557,1
-0.161598259,0.134284988,0
-0.585294007,-0.53614014,0
-0.279282318,0.273161631,0
0.457754262,0.996558178,1
-0.196939614,-0.739316625,0
-0.686850262,-0.936810992,1
0.825033507,-0.260883903,0
0.151390527,-0.8762941,0
-0.60310081,0.249849122,0
0.326340196,-0.686174709,0
-0.002894283,0.632356052,0
0.109408275,-0.865331732,0
-0.791680623,0.437862792,0
-0.100172298,-0.816651912,0
-0.808108749,0.082191719,0
0.846424771,-0.334636322,0
-0.125947621,-0.290148505,0
-0.161499512,-0.520521451,0
-0.279091731,0.161630092,0
-0.354221614,0.148641644,0
0.442734909,0.743127071,0
-0.634092477,-0.084741682,0
0.531068812,0.562565839,0
-0.271519607,0.356104673,0
0.512022441,0.617927356,0
0.080876284,0.878163357,0
0.601585599,0.242742397,0
0.614148292,-0.583951345,0
-0.222982302,-0.520723994,0
-0.984409254,0.684026369,1
0.785551027,-0.260433694,0
0.632746961,-0.119327333,0
-0.513516476,0.106131039,0
0.778521421,0.451830573,0
-0.432808868,-0.334948785,0
-0.705963366,-0.917531951,1
0.069838378,0.789010161,0
0.030002733,0.984632512,0
-0.59610632,0.799317024,0
-0.714327212,-0.643883759,0
0.607784243,0.918801265,1
0.050386052,0.129293128,0
0.076989294,0.846091467,0
-0.98803617,-0.510072168,1
-0.282479033,0.926066154,0
0.299795325,0.576119121,0
